Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00004500,1,Phase III Randomized Study of Lucinactant in Full Term Newborn Infants With Meconium Aspiration Syndrome,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Other,Phase 3,"Respiratory Tract (Lung and Bronchial) Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Diseases and Abnormalities at or before Birth|All Conditions|Symptoms and General Pathology|Wounds and Injuries|Rare Diseases",INDUSTRY,,Single,United States,Mar-00,18-Oct-99,2-Nov,4-Nov,2-Apr-12,Slow enrollment and administrative reasons,,2,69,Actual,200,,TRUE,,69,69,69,0.35,37,69,0,,2 - No Scientific Data
NCT00004859,1,"Carboplatin, Paclitaxel, and Radiation Therapy With or Without Thalidomide in Patients With Stage III Non-small Cell Lung Cancer",Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Radiation,Phase 3,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Rare Diseases,NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|South Africa,Jan-00,7-Mar-00,9-Dec,11-May,16-Feb-12,Trial was stopped early for futility,,6,589,Actual,588,,TRUE,,589,589,546,1,471,577,1,22271472,1 - Scientific Data
NCT00006478,1,Vaccine Therapy Following Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Non-Hodgkin's Lymphoma,Treatment,Single Group Assignment,Open Label,Non-Randomized,Biological|Biological|Biological|Procedure,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,Sep-00,6-Nov-00,8-Mar,8-Apr,19-Oct-10,"Genitope suspend development of MyVax in light of the decision made by the Food and Drug Administration (FDA) March 6, 2008",,16,19,Actual,20,,TRUE,,19,19,0,0.95,0,19,1,19125383,2 - No Scientific Data
NCT00015847,1,Imatinib Mesylate and Interferon Alfa in Treating Patients With Chronic Myelogenous Leukemia,Treatment,Single Group Assignment,Open Label,Non-Randomized,Biological|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Multiple,United States|United States,1-Apr,6-May-01,11-May,11-May,6-Jun-12,,,9,25,Actual,40,Anticipated,TRUE,,25,25,25,0.63,8,25,0,,3 - No Reason Provided
NCT00019747,1,Surgery With or Without Thalidomide in Treating Patients With Recurrent or Metastatic Colorectal Cancer,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Procedure|Other,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|All Conditions,NIH,,Multiple,United States|United States|United States|United States|United States|United States,Aug-99,11-Jul-01,8-Dec,8-Dec,25-Sep-12,DSMB recommended closure of the protocol due to slow accrual.,,2,39,Actual,94,,TRUE,,39,39,0,0.41,9,39,0,,2 - No Scientific Data
NCT00021229,0,Imatinib Mesylate With or Without Radiation Therapy in Treating Young Patients With Newly Diagnosed or Recurrent Glioma,Treatment,Single Group Assignment,Open Label,,Drug|Radiation,Phase 1|Phase 2,Cancers and Other Neoplasms|Nervous System Diseases|All Conditions|Rare Diseases,NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,1-May,11-Jul-01,8-Aug,8-Aug,9-Feb-10,Poor accrual,,2,85,Actual,85,Actual,TRUE,,85,85,32,1,31,85,1,17293590,2 - No Scientific Data
NCT00022490,1,Imatinib Mesylate Plus Cytarabine in Treating Patients With Chronic Myelogenous Leukemia,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Multiple,United States|United States,1-Jun,10-Aug-01,11-May,11-Jul,6-Jun-12,,,9,24,Actual,45,Anticipated,TRUE,,24,24,24,0.53,13,24,0,,3 - No Reason Provided
NCT00029146,1,Carotid Occlusion Surgery Study,Treatment,Parallel Assignment,Single Blind,Randomized,Procedure|Drug,Phase 3,Nervous System Diseases|Heart and Blood Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,2-Jul,8-Jan-02,10-Jun,10-Jun,17-Jan-12,Pre-specified futility boundary was reached.,,6,700,Actual,930,,FALSE,F,195,195,195,0.21,16,195,1,22068990,1 - Scientific Data
NCT00048893,1,Vaccine and Chemotherapy for Previously Untreated Metastatic Breast Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Biological|Biological|Biological|Biological|Drug|Drug|Drug|Drug|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,NIH,,Multiple,United States|United States,2-Nov,8-Nov-02,11-Jun,11-Jun,25-Oct-11,The study was closed to accrual due to very poor enrollment.,,2,37,Actual,62,,TRUE,,37,37,37,0.6,11,37,0,,2 - No Scientific Data
NCT00057954,1,Reduced-Intensity Regimen Before Allogeneic Transplant for Patients With Relapsed Non-Hodgkin's or Hodgkin's Lymphoma,Treatment,Single Group Assignment,Open Label,,Procedure|Drug|Radiation|Procedure|Drug|Drug|Drug,Phase 2,Bacterial and Fungal Diseases|All Conditions|Viral Diseases|Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|Symptoms and General Pathology|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Jun,7-Apr-03,8-Apr,11-May,7-Jan-13,Slow accrual,,2,6,Actual,36,,TRUE,,6,6,6,0.17,6,6,0,,2 - No Scientific Data
